Label,Pixels
n02098413-Lhasa,[162 172 171 ...  84  78  69]
n02098413-Lhasa,[ 40  42  45 ... 249 249 249]
n02098413-Lhasa,[181 182 183 ...  39  49  31]
n02098413-Lhasa,[ 2  2  2 ... 53 53 52]
n02098413-Lhasa,[203 204 191 ... 116 116 116]
n02098413-Lhasa,[  1   1   1 ... 108 108 108]
n02098413-Lhasa,[184 184 184 ... 148 154 163]
n02098413-Lhasa,[ 56  58  59 ... 183 182 181]
n02098413-Lhasa,[ 40  41  43 ... 138 142 142]
n02098413-Lhasa,[58 60 61 ... 67 66 64]
n02098413-Lhasa,[79 80 79 ... 84 80 89]
n02098413-Lhasa,[142 145 149 ...   6   6   6]
n02098413-Lhasa,[  6   6   6 ... 107 110 111]
n02098413-Lhasa,[ 69  84  59 ... 166 168 169]
n02098413-Lhasa,[100  72  61 ...  59  61  94]
n02098413-Lhasa,[212 212 212 ...  90  89  89]
n02098413-Lhasa,[16 16 16 ... 88 89 89]
n02098413-Lhasa,[61 68 57 ... 67 50 69]
n02098413-Lhasa,[ 37  37  36 ... 102  97  97]
n02098413-Lhasa,[69 68 68 ... 55 42 41]
n02098413-Lhasa,[  1  20  57 ... 147 133 153]
n02098413-Lhasa,[150 150 151 ...  36  38  39]
n02098413-Lhasa,[108 107 107 ...  72  77  75]
n02098413-Lhasa,[38 38 39 ... 99 94 83]
n02098413-Lhasa,[28 25 20 ... 71 71 96]
n02098413-Lhasa,[244 243 243 ...  57  23  23]
n02098413-Lhasa,[186 186 186 ... 108 108 109]
n02098413-Lhasa,[ 61  47  54 ... 109  87  78]
n02098413-Lhasa,[23 23 23 ...  6  5  4]
n02098413-Lhasa,[ 7  7  7 ... 70 60 53]
n02098413-Lhasa,[49 49 49 ...  3  3  3]
n02098413-Lhasa,[  3   9  10 ...  95 100  98]
n02098413-Lhasa,[227 227 228 ...  20  20  20]
n02098413-Lhasa,[ 31  12  18 ... 116 202 156]
n02098413-Lhasa,[166 165 164 ... 159 162 165]
n02098413-Lhasa,[22 23 23 ... 50 50 49]
n02098413-Lhasa,[12 12 12 ...  7  7  7]
n02098413-Lhasa,[117 116 116 ...  85  76  68]
n02098413-Lhasa,[216 216 216 ...  97 126 102]
n02098413-Lhasa,[207 229 250 ... 120 121 122]
n02098413-Lhasa,[37 36 39 ... 81 77 80]
n02098413-Lhasa,[234 226 200 ...  60  69  70]
n02098413-Lhasa,[123 123 123 ... 182 179 177]
n02098413-Lhasa,[50 48 45 ... 48 48 48]
n02098413-Lhasa,[ 15  15  15 ... 105 101 102]
n02098413-Lhasa,[159 159 160 ...  11  11  11]
n02098413-Lhasa,[28 28 28 ... 65 67 71]
n02098413-Lhasa,[153 152 151 ... 165 163 157]
n02098413-Lhasa,[234 234 234 ... 203 203 203]
n02098413-Lhasa,[ 62  58  53 ...  97 113 117]
n02098413-Lhasa,[ 3 10  9 ... 30 30 30]
n02098413-Lhasa,[  3   3   3 ... 142 142 141]
n02098413-Lhasa,[39 39 39 ... 40 42 43]
n02098413-Lhasa,[ 89  99  99 ... 226 226 226]
n02098413-Lhasa,[200 201 201 ...  97  95  94]
n02098413-Lhasa,[ 9 12 13 ... 79 71 62]
n02098413-Lhasa,[13 13 13 ... 18 18 18]
n02098413-Lhasa,[61 60 60 ... 22 21 21]
n02098413-Lhasa,[ 94  83  80 ... 162 161 160]
n02098413-Lhasa,[ 57  65  70 ... 181 178 176]
n02098413-Lhasa,[72 75 79 ... 32 32 32]
n02098413-Lhasa,[83 84 89 ... 30 31 33]
n02098413-Lhasa,[ 8 17 19 ... 96 91 94]
n02098413-Lhasa,[ 21  23  26 ... 107 105 103]
n02098413-Lhasa,[104 107 105 ... 217 212 212]
n02098413-Lhasa,[ 3  3  3 ... 88 88 89]
n02098413-Lhasa,[ 1 26  1 ... 12 10  4]
n02098413-Lhasa,[149 133 161 ... 151 137 138]
n02098413-Lhasa,[ 45  26  22 ... 214 212 211]
n02098413-Lhasa,[ 98  96  94 ... 232 232 231]
n02098413-Lhasa,[40 38 38 ... 67 69 48]
n02098413-Lhasa,[227 224 220 ... 109 108 102]
n02098413-Lhasa,[58 68 69 ... 16 16 17]
n02098413-Lhasa,[139 141 144 ...  26  27  27]
n02098413-Lhasa,[ 1  1  1 ... 52 67  9]
n02098413-Lhasa,[28 25 21 ... 82 82 82]
n02098413-Lhasa,[ 21  19  20 ... 142 138 136]
n02098413-Lhasa,[ 24  26  24 ... 148 146 143]
n02098413-Lhasa,[238 238 238 ... 231 229 228]
n02098413-Lhasa,[219 244 247 ... 245 255 237]
n02098413-Lhasa,[29 30 30 ...  8  8  8]
n02098413-Lhasa,[105 113 116 ... 107 114  99]
n02098413-Lhasa,[106 107 109 ... 112 110 115]
n02098413-Lhasa,[65 68 72 ... 32 26 18]
n02098413-Lhasa,[27 26 26 ...  4  4  4]
n02098413-Lhasa,[204 202 199 ... 155 149 141]
n02098413-Lhasa,[29 24 24 ... 36 34 34]
n02098413-Lhasa,[ 85  85  85 ... 183 169 156]
n02098413-Lhasa,[45 39 38 ... 18 30 25]
n02098413-Lhasa,[246 248 251 ...  81  81  81]
n02098413-Lhasa,[ 62  58  52 ... 190 111 107]
n02098413-Lhasa,[189 195 198 ...  69  58  39]
n02098413-Lhasa,[209 207 206 ... 138 128 113]
n02098413-Lhasa,[138 137 154 ...  83  86  86]
n02098413-Lhasa,[100 101 101 ...  41  41  41]
n02098413-Lhasa,[15 17 19 ... 64 72 79]
n02098413-Lhasa,[ 95  95  95 ... 168 168 168]
n02098413-Lhasa,[143 141 139 ...  90  90  90]
n02098413-Lhasa,[197 174 178 ... 139 136 130]
n02098413-Lhasa,[ 1  1  1 ... 51 48 54]
n02098413-Lhasa,[183 183 183 ...  87  87  86]
n02098413-Lhasa,[254 245 252 ... 116 112 114]
n02098413-Lhasa,[254 254 254 ...   2   2   2]
n02098413-Lhasa,[32 31 31 ... 86 80 89]
n02098413-Lhasa,[154 154 154 ... 144 144 145]
n02098413-Lhasa,[25 25 25 ... 14 14 14]
n02098413-Lhasa,[ 93  93  93 ... 102 102 102]
n02098413-Lhasa,[76 36 45 ... 80 94 87]
n02098413-Lhasa,[186 189 193 ...  61  59  56]
n02098413-Lhasa,[ 32  35  35 ... 148 152 150]
n02098413-Lhasa,[128 131 135 ...  94  93  92]
n02098413-Lhasa,[ 93  93  93 ... 253 253 253]
n02098413-Lhasa,[201 200 199 ...  15  17  18]
n02098413-Lhasa,[47 51 56 ... 23 22 31]
n02098413-Lhasa,[166 167 169 ...  26  25  24]
n02098413-Lhasa,[ 77  73  77 ... 239 157 152]
n02098413-Lhasa,[204 216 216 ... 141 166 118]
n02098413-Lhasa,[  7   1   4 ... 201 201 201]
n02098413-Lhasa,[34 50 52 ... 36 29 24]
n02098413-Lhasa,[22 22 22 ... 66 67 67]
n02086240-Shih-Tzu,[110 113 134 ... 152 151 150]
n02086240-Shih-Tzu,[ 79  79  79 ... 133 132 132]
n02086240-Shih-Tzu,[96 97 99 ... 84 87 89]
n02086240-Shih-Tzu,[50 58 48 ... 72 78 77]
n02086240-Shih-Tzu,[127 127 127 ... 106 110 113]
n02086240-Shih-Tzu,[28 44 42 ... 49 50 51]
n02086240-Shih-Tzu,[16 16 18 ... 20 23 24]
n02086240-Shih-Tzu,[ 93 101 113 ... 108 106 105]
n02086240-Shih-Tzu,[88 92 94 ... 63 62 67]
n02086240-Shih-Tzu,[ 65 106 135 ...  47  51  61]
n02086240-Shih-Tzu,[130 122 117 ...  35  37  39]
n02086240-Shih-Tzu,[251 251 252 ... 255 255 255]
n02086240-Shih-Tzu,[ 93  88  87 ... 138 137 134]
n02086240-Shih-Tzu,[ 49  35  50 ... 125 127 129]
n02086240-Shih-Tzu,[ 95  77  62 ...  89 194 222]
n02086240-Shih-Tzu,[167 169 172 ...  90  91  89]
n02086240-Shih-Tzu,[173 173 173 ...  47  58  74]
n02086240-Shih-Tzu,[149 144 141 ... 136 135 135]
n02086240-Shih-Tzu,[ 60  60  60 ... 168 150  75]
n02086240-Shih-Tzu,[130 129 128 ... 133 127 125]
n02086240-Shih-Tzu,[ 83  87  82 ... 126 128 127]
n02086240-Shih-Tzu,[1 0 0 ... 1 0 5]
n02086240-Shih-Tzu,[164 163 163 ...  94 100 114]
n02086240-Shih-Tzu,[ 36  32  30 ... 158 166 168]
n02086240-Shih-Tzu,[132 132 132 ...  80  90  86]
n02086240-Shih-Tzu,[121 131 129 ... 132 133 128]
n02086240-Shih-Tzu,[ 87  87  88 ... 155 156 156]
n02086240-Shih-Tzu,[ 3  4  6 ... 10  9  8]
n02086240-Shih-Tzu,[117 114 112 ...  30  29  28]
n02086240-Shih-Tzu,[ 13  14  14 ... 239 239 239]
n02086240-Shih-Tzu,[16 14 12 ... 14 15 17]
n02086240-Shih-Tzu,[212 212 212 ...   3   3   2]
n02086240-Shih-Tzu,[ 93  99 195 ...  51  56  60]
n02086240-Shih-Tzu,[ 44  50  58 ... 180 179 178]
n02086240-Shih-Tzu,[103  95  96 ... 135 129 129]
n02086240-Shih-Tzu,[68 68 69 ... 94 94 94]
n02086240-Shih-Tzu,[ 2  1  1 ... 16 16 16]
n02086240-Shih-Tzu,[122 122 122 ... 113 113 112]
n02086240-Shih-Tzu,[20 38 37 ... 94 92 90]
n02086240-Shih-Tzu,[122 114  44 ...  49  60  62]
n02086240-Shih-Tzu,[89 91 96 ... 60 62 61]
n02086240-Shih-Tzu,[160 160 136 ...  20  21  21]
n02086240-Shih-Tzu,[248 248 250 ...  24  23  22]
n02086240-Shih-Tzu,[139 133 127 ...   5   5   9]
n02086240-Shih-Tzu,[173  95 150 ...  26  24  26]
n02086240-Shih-Tzu,[121 123 125 ... 113 117 120]
n02086240-Shih-Tzu,[26 26 26 ... 24 21 20]
n02086240-Shih-Tzu,[126 128 131 ... 161 162 163]
n02086240-Shih-Tzu,[ 2  2  2 ... 22 23 24]
n02086240-Shih-Tzu,[ 38  37  37 ... 100  60  48]
n02086240-Shih-Tzu,[62 73 75 ... 52 49 59]
n02086240-Shih-Tzu,[137  92 118 ... 134 143 131]
n02086240-Shih-Tzu,[ 60  60  62 ... 132 157 182]
n02086240-Shih-Tzu,[ 1  1  1 ... 64 70 75]
n02086240-Shih-Tzu,[98 96 91 ... 22 21 20]
n02086240-Shih-Tzu,[122 123 124 ... 128 132 126]
n02086240-Shih-Tzu,[186 187 188 ...  98  96  95]
n02086240-Shih-Tzu,[ 33  33  32 ... 139 142 144]
n02086240-Shih-Tzu,[  3   2   1 ... 144 134 103]
n02086240-Shih-Tzu,[142 142 143 ...  68  77  92]
n02086240-Shih-Tzu,[39 51 55 ... 85 61 48]
n02086240-Shih-Tzu,[107 104 103 ...  80  74  54]
n02086240-Shih-Tzu,[171 169 166 ... 119 117 110]
n02086240-Shih-Tzu,[165 162 189 ...  88  97  99]
n02086240-Shih-Tzu,[110 169 139 ... 116 116 116]
n02086240-Shih-Tzu,[71 32 30 ... 43 44 45]
n02086240-Shih-Tzu,[153 175  98 ... 121 124 125]
n02086240-Shih-Tzu,[ 99  79 108 ... 106 118 115]
n02086240-Shih-Tzu,[153 153 154 ... 132 133 130]
n02086240-Shih-Tzu,[205 216 230 ... 119 134 172]
n02086240-Shih-Tzu,[119 119 119 ...  93 101  97]
n02086240-Shih-Tzu,[  4   4   4 ... 164 162 162]
n02086240-Shih-Tzu,[151 149 147 ... 125 124 123]
n02086240-Shih-Tzu,[156 113 156 ...  37  56  66]
n02086240-Shih-Tzu,[108  79   1 ...   6  14  12]
n02086240-Shih-Tzu,[154 136 190 ... 188 188 188]
n02086240-Shih-Tzu,[196 190 152 ... 125 137 148]
n02086240-Shih-Tzu,[ 3  3  4 ... 21 20 19]
n02086240-Shih-Tzu,[ 50  51 112 ...  30  23  33]
n02086240-Shih-Tzu,[220 220 220 ... 160 163 163]
n02086240-Shih-Tzu,[188 188 189 ... 165 164 163]
n02086240-Shih-Tzu,[ 80  73  64 ... 169 171 168]
n02086240-Shih-Tzu,[166 174 173 ... 160 157 158]
n02086240-Shih-Tzu,[172 172 173 ...  28  26  24]
n02086240-Shih-Tzu,[59 27 18 ... 10  6 15]
n02086240-Shih-Tzu,[152 164 162 ... 220 222 223]
n02086240-Shih-Tzu,[121 107  90 ... 104 103 103]
n02086240-Shih-Tzu,[63 64 62 ... 81 75 66]
n02086240-Shih-Tzu,[ 96  92  84 ... 154 153 152]
n02086240-Shih-Tzu,[108 110 112 ... 150 146 140]
n02086240-Shih-Tzu,[139 141 145 ...  43  31  25]
n02086240-Shih-Tzu,[63 68 70 ... 62 63 64]
n02086240-Shih-Tzu,[  7   6   9 ... 113 113 110]
n02086240-Shih-Tzu,[ 3  3  3 ... 54 53 50]
n02086240-Shih-Tzu,[47 59 66 ... 49 34 21]
n02086240-Shih-Tzu,[60 61 62 ... 33 34 35]
n02086240-Shih-Tzu,[52 51 48 ... 66 48 19]
n02086240-Shih-Tzu,[166 162 172 ...  64  70  66]
n02086240-Shih-Tzu,[ 64  76  85 ... 130 130 130]
n02086240-Shih-Tzu,[31 31 30 ... 29 27 27]
n02086240-Shih-Tzu,[ 68  99 109 ... 143 154 126]
n02086240-Shih-Tzu,[255 255 255 ... 255 255 255]
n02086240-Shih-Tzu,[11 11 11 ... 21 21 20]
n02086240-Shih-Tzu,[201 204 203 ...  16  10  13]
n02086240-Shih-Tzu,[112 112 111 ... 157 143 144]
n02086240-Shih-Tzu,[68 66 68 ... 74 73 72]
n02086240-Shih-Tzu,[ 19  13  10 ... 150 149 137]
n02086240-Shih-Tzu,[ 89  84  86 ... 129 133 156]
n02086240-Shih-Tzu,[185 190 194 ... 152 139 126]
n02086240-Shih-Tzu,[42 40 40 ... 27 27 27]
n02086240-Shih-Tzu,[ 5  5  5 ... 57 56 56]
n02086240-Shih-Tzu,[182 173 173 ... 152 144 139]
n02086240-Shih-Tzu,[117 117 117 ...  39  38  38]
n02086240-Shih-Tzu,[85 68 62 ...  8  8  8]
n02086240-Shih-Tzu,[ 94  95  96 ... 110  96  84]
n02086240-Shih-Tzu,[ 76  78  80 ... 105 106 104]
n02086240-Shih-Tzu,[50 50 50 ... 27 26 26]
n02086240-Shih-Tzu,[  0   0   0 ... 101  89  80]
n02086240-Shih-Tzu,[ 79  78  78 ... 120 123 129]
n02086240-Shih-Tzu,[  7   7   7 ... 156 156 154]
n02086240-Shih-Tzu,[175 175 174 ... 226 226 225]
n02086240-Shih-Tzu,[8 8 8 ... 6 5 5]
n02086240-Shih-Tzu,[ 27  27  27 ... 157 160 162]
n02086240-Shih-Tzu,[ 81  82  58 ...  70  91 103]
n02086240-Shih-Tzu,[67 67 68 ... 58 72 98]
n02086240-Shih-Tzu,[78 78 79 ... 26 42 57]
n02086240-Shih-Tzu,[101  98  96 ...  63  66  70]
n02086240-Shih-Tzu,[11  8 20 ... 62 60 60]
n02086240-Shih-Tzu,[174 172 171 ... 187 185 186]
n02086240-Shih-Tzu,[ 58  58  58 ... 158 158 157]
n02086240-Shih-Tzu,[0 0 0 ... 0 0 0]
n02086240-Shih-Tzu,[104 107 110 ...   7   9  12]
n02086240-Shih-Tzu,[178 178 179 ...  36  32  27]
n02086240-Shih-Tzu,[237 235 230 ...  10  10   6]
n02086240-Shih-Tzu,[  4  20  21 ... 185 192 197]
n02086240-Shih-Tzu,[17 15 12 ... 14 17 21]
n02086240-Shih-Tzu,[255 254 254 ... 146 145 152]
n02086240-Shih-Tzu,[ 21  19  18 ... 160 166 168]
n02086240-Shih-Tzu,[133 148  92 ...  88  72  85]
n02086240-Shih-Tzu,[ 25  26  27 ...  71 101 138]
n02086240-Shih-Tzu,[ 60  60  59 ... 104 106  99]
n02086240-Shih-Tzu,[130 130 129 ... 140 140 139]
n02086240-Shih-Tzu,[148 153 157 ...  84  80  72]
n02086240-Shih-Tzu,[ 27  22  18 ... 135 147 156]
n02086240-Shih-Tzu,[118  49  35 ...  42  27  86]
n02086240-Shih-Tzu,[151 150 149 ... 217 219 220]
n02086240-Shih-Tzu,[ 30  29  28 ... 127 156 106]
n02086240-Shih-Tzu,[0 0 0 ... 0 0 0]
n02086240-Shih-Tzu,[29 30 30 ... 56 52 50]
n02086240-Shih-Tzu,[ 13  20  52 ... 183 171 165]
n02086240-Shih-Tzu,[88 88 89 ... 82 80 79]
n02086240-Shih-Tzu,[112  92  42 ... 128 139  17]
n02086240-Shih-Tzu,[21 21 21 ... 17 14 12]
n02086240-Shih-Tzu,[255 255 255 ... 255 255 255]
n02086240-Shih-Tzu,[36 36 35 ... 12 10  6]
n02086240-Shih-Tzu,[104 109 114 ... 139 139 140]
n02086240-Shih-Tzu,[55 57 60 ... 41 48 50]
n02086240-Shih-Tzu,[168 163 159 ... 195 193 185]
n02086240-Shih-Tzu,[115 143 119 ... 148 116 145]
n02086240-Shih-Tzu,[ 50 118 144 ...  69  71  72]
n02086240-Shih-Tzu,[82 82 82 ... 55 52 51]
n02086240-Shih-Tzu,[20 20 20 ...  6  6  7]
n02086240-Shih-Tzu,[ 82  82  82 ... 142 142 142]
n02086240-Shih-Tzu,[ 35  35  34 ... 194 190 179]
n02086240-Shih-Tzu,[ 5  5  5 ... 32 35 37]
n02086240-Shih-Tzu,[112 112 112 ... 157 156 155]
n02086240-Shih-Tzu,[243 246 250 ... 147 150 148]
n02086240-Shih-Tzu,[ 83  82  82 ... 125 113 102]
n02086240-Shih-Tzu,[147 124  70 ...  13  12  17]
n02086240-Shih-Tzu,[195 193 181 ... 156 154 153]
n02086240-Shih-Tzu,[131 131 132 ... 173 172 171]
n02086240-Shih-Tzu,[58 57 53 ... 89 59 86]
n02086240-Shih-Tzu,[139 141 143 ...  14  14  14]
n02086240-Shih-Tzu,[216 217 217 ...  95  97 100]
n02086240-Shih-Tzu,[117  87 128 ... 197 198 204]
n02086240-Shih-Tzu,[208 208 208 ...  49  54  58]
n02086240-Shih-Tzu,[1 1 1 ... 0 0 0]
n02086240-Shih-Tzu,[  4   4   4 ... 118 111 105]
n02086240-Shih-Tzu,[55 55 54 ... 49 48 47]
n02086240-Shih-Tzu,[33 35 37 ... 11  8  6]
n02086240-Shih-Tzu,[116 119 116 ... 236 236 236]
n02086240-Shih-Tzu,[ 99 102 124 ... 207 234 252]
n02086240-Shih-Tzu,[ 41  25  10 ... 183 181 178]
n02086240-Shih-Tzu,[255 255 255 ...  96  83  65]
n02086240-Shih-Tzu,[ 22  27  28 ... 111 119 116]
n02086240-Shih-Tzu,[46 48 52 ... 85 92 88]
n02086240-Shih-Tzu,[ 85  85  86 ... 168 167 166]
n02086240-Shih-Tzu,[55 53 51 ... 27 23 19]
n02086240-Shih-Tzu,[104 104 103 ... 154 153 153]
n02086240-Shih-Tzu,[159 161 159 ... 139 137 136]
n02086240-Shih-Tzu,[206 209 213 ...  60  63  62]
n02086240-Shih-Tzu,[187 187 186 ... 189 184 180]
n02086240-Shih-Tzu,[140 101  89 ...  87  86  85]
n02086240-Shih-Tzu,[20 20 18 ... 20 33 47]
n02086240-Shih-Tzu,[24 28 31 ... 18 18 18]
n02086240-Shih-Tzu,[152 149 146 ... 151 152 153]
n02086240-Shih-Tzu,[ 64  72  82 ... 138 143 145]
n02086240-Shih-Tzu,[ 47  97  50 ...  72  33 128]
n02086240-Shih-Tzu,[ 98  96  96 ... 206 205 205]
n02086240-Shih-Tzu,[43 43 43 ... 42 39 37]
n02086240-Shih-Tzu,[22 25 25 ... 45 41 39]
n02086240-Shih-Tzu,[119 120 125 ...  69  73  66]
n02086240-Shih-Tzu,[14 14 14 ... 40 37 34]
n02086240-Shih-Tzu,[ 10  21  23 ... 150 146 145]
n02086240-Shih-Tzu,[4 3 3 ... 7 6 5]
n02086240-Shih-Tzu,[ 11  19  52 ... 198 173 195]
n02086240-Shih-Tzu,[215 217 218 ... 143 144 144]
n02086240-Shih-Tzu,[169 167 163 ...  16  15  14]
n02086240-Shih-Tzu,[130 140 133 ... 226 225 224]
n02086240-Shih-Tzu,[88 88 88 ... 96 96 96]
n02086240-Shih-Tzu,[96 88 92 ... 88 88 88]
n02086240-Shih-Tzu,[175 175 175 ... 148 149 148]
n02086240-Shih-Tzu,[  8   1  47 ... 218 235  66]
n02086240-Shih-Tzu,[ 92  96 103 ... 250 252 254]
n02093991-Irish_terrier,[210 210 210 ... 190 174 174]
n02093991-Irish_terrier,[138 137 136 ... 111 111 111]
n02093991-Irish_terrier,[  5   6  12 ... 164 169 182]
n02093991-Irish_terrier,[115 113 118 ...  74  43  37]
n02093991-Irish_terrier,[ 46  44  41 ... 254 254 254]
n02093991-Irish_terrier,[146 147 148 ... 125 128 120]
n02093991-Irish_terrier,[232 232 232 ... 118  96  83]
n02093991-Irish_terrier,[ 59  52  25 ...  46  78 182]
n02093991-Irish_terrier,[ 48  57  60 ... 248 248 248]
n02093991-Irish_terrier,[48 69 40 ... 91 25 28]
n02093991-Irish_terrier,[232 232 232 ...   9   1   0]
n02093991-Irish_terrier,[152 141 155 ... 144 144 144]
n02093991-Irish_terrier,[178 186 202 ...  87  87  87]
n02093991-Irish_terrier,[108 107 107 ... 137 135 123]
n02093991-Irish_terrier,[211 210 209 ... 121 117 117]
n02093991-Irish_terrier,[115 116 117 ... 187 183 180]
n02093991-Irish_terrier,[145 147 149 ...  94  90  90]
n02093991-Irish_terrier,[247 247 247 ... 157 158 159]
n02093991-Irish_terrier,[133 140 159 ...  98 183 136]
n02093991-Irish_terrier,[ 41  44  47 ...  51 155 141]
n02093991-Irish_terrier,[ 62  63  64 ... 116 115 114]
n02093991-Irish_terrier,[248 248 248 ... 197 198 199]
n02093991-Irish_terrier,[163 162 161 ...  32  31  31]
n02093991-Irish_terrier,[  4  19  96 ... 243 252 251]
n02093991-Irish_terrier,[ 58  84 111 ... 161 160 160]
n02093991-Irish_terrier,[150 148 145 ...  76  38  17]
n02093991-Irish_terrier,[203 199 192 ... 117 116 114]
n02093991-Irish_terrier,[135  96 149 ... 134 133 132]
n02093991-Irish_terrier,[162 163 164 ... 192 192 192]
n02093991-Irish_terrier,[142 142 143 ... 161 153 159]
n02093991-Irish_terrier,[19 18 18 ... 52 62 51]
n02093991-Irish_terrier,[160 166 177 ...  39  39  39]
n02093991-Irish_terrier,[130 130 135 ...  97  96 106]
n02093991-Irish_terrier,[  0   1   3 ... 162 161 158]
n02093991-Irish_terrier,[ 57  42  33 ... 125 122 120]
n02093991-Irish_terrier,[55 53 51 ... 28 26 23]
n02093991-Irish_terrier,[181 178 177 ...  88  92  93]
n02093991-Irish_terrier,[ 88 103 133 ... 161 165 153]
n02093991-Irish_terrier,[128 126 122 ... 131 131 131]
n02093991-Irish_terrier,[ 70  70  69 ... 125 121 120]
n02093991-Irish_terrier,[122 123 128 ... 169 159 153]
n02093991-Irish_terrier,[ 57  56  56 ... 118 120 121]
n02093991-Irish_terrier,[131 131 132 ...  48  48  48]
n02093991-Irish_terrier,[237 235 236 ... 114 113 112]
n02093991-Irish_terrier,[113  97  82 ...  24  23  21]
n02093991-Irish_terrier,[130 130 130 ... 171 161 154]
n02093991-Irish_terrier,[128 126 119 ... 203 206 206]
n02093991-Irish_terrier,[153 151 164 ... 167 158 152]
n02093991-Irish_terrier,[181 180 178 ... 103 110 106]
n02093991-Irish_terrier,[122 106 163 ...  99  93  88]
n02093991-Irish_terrier,[100 100 100 ... 110 110 140]
n02093991-Irish_terrier,[102 102 103 ... 172 177 178]
n02093991-Irish_terrier,[ 34  44  23 ... 210 210 210]
n02093991-Irish_terrier,[ 37  36  34 ... 184 183 182]
n02093991-Irish_terrier,[81 86 94 ... 32 31 30]
n02093991-Irish_terrier,[197 206 216 ... 154 140 138]
n02093991-Irish_terrier,[10 12 14 ... 63 60 57]
n02093991-Irish_terrier,[  9   7   8 ... 104  99 135]
n02093991-Irish_terrier,[232 223 233 ... 231 231 231]
n02093991-Irish_terrier,[114 116 118 ... 137 144 142]
n02093991-Irish_terrier,[13 13 14 ... 14 14 14]
n02093991-Irish_terrier,[ 63  61  62 ... 126 133 125]
